weekday,date,study_time,study_decimal
3,10/30/2019,3:20,3.33
4,10/31/2019,7:29,7.48
5,11/1/2019,3:15,3.25
6,11/2/2019,0:00,0.00
7,11/3/2019,0:00,0.00
1,11/4/2019,3:15,3.25
2,11/5/2019,12:34,12.57
3,11/6/2019,11:49,11.82
4,11/7/2019,4:30,4.50
5,11/8/2019,2:45,2.75
6,11/9/2019,6:45,6.75
7,11/10/2019,6:22,6.37
1,11/11/2019,2:08,2.13
2,11/12/2019,7:50,7.83
3,11/13/2019,2:45,2.75
4,11/14/2019,5:47,5.78
5,11/15/2019,4:19,4.32
6,11/16/2019,2:00,2.00
7,11/17/2019,4:30,4.50
1,11/18/2019,7:48,7.80
2,11/19/2019,11:14,11.23
3,11/20/2019,11:34,11.57
4,11/21/2019,11:13,11.22
5,11/22/2019,6:11,6.18
6,11/23/2019,0:00,0.00
7,11/24/2019,0:00,0.00
1,11/25/2019,0:00,0.00
2,11/26/2019,0:00,0.00
3,11/27/2019,1:55,1.92
4,11/28/2019,0:00,0.00
5,11/29/2019,0:00,0.00
6,11/30/2019,0:00,0.00
7,12/1/2019,0:40,0.67
1,12/2/2019,11:00,11.00
2,12/3/2019,8:44,8.73
3,12/4/2019,7:56,7.93
4,12/5/2019,1:05,1.08
5,12/6/2019,3:45,3.75
6,12/7/2019,4:15,4.25
7,12/8/2019,5:28,5.47
1,12/9/2019,6:00,6.00
2,12/10/2019,9:09,9.15
3,12/11/2019,2:02,2.03
